id,data
6,05-02-2010
9,03-11-2008
10,05-02-2009
11,30-05-2008
15,11-03-2011
18,09-12-2010
26,15-09-2008
52,13-01-2010
78,05-01-2009
113,02-10-2008
115,15-02-2010
136,21-09-2009
139,19-01-2011
148,13-02-2010
193,03-10-2010
216,31-10-2008
245,30-01-2009
271,04-08-2009
286,18-03-2011
287,27-06-2008
300,02-07-2011
301,16-08-2010
304,24-11-2009
308,23-04-2010
311,14-07-2009
317,12-02-2010
319,20-01-2010
330,31-08-2008
366,12-10-2009
375,18-12-2009
377,25-09-2010
390,20-05-2009
395,16-10-2010
397,21-12-2008
399,17-11-2008
402,30-04-2010
408,17-02-2009
413,05-12-2008
418,28-02-2008
421,10-08-2008
427,15-05-2010
431,28-02-2008
437,07-12-2008
450,03-12-2009
454,17-03-2011
455,28-02-2008
460,21-05-2009
462,27-03-2010
465,27-02-2008
469,22-12-2011
474,20-01-2010
485,08-07-2008
490,20-07-2010
491,01-09-2009
504,16-10-2010
520,27-08-2009
523,10-04-2011
527,04-10-2010
534,12-04-2008
537,11-02-2010
542,06-11-2009
560,24-08-2009
569,10-07-2008
576,06-04-2010
603,21-11-2008
606,29-11-2010
612,09-01-2011
627,11-03-2010
629,09-12-2009
631,19-06-2012
633,06-04-2008
649,29-11-2010
651,10-05-2008
677,09-07-2011
678,19-12-2010
684,29-01-2010
711,13-01-2010
715,05-03-2010
716,12-04-2008
730,07-06-2010
740,16-03-2011
741,23-06-2009
760,14-07-2011
764,25-03-2009
775,17-04-2010
777,26-09-2010
792,22-10-2008
794,17-02-2011
796,26-08-2009
798,13-10-2009
821,29-09-2008
826,05-02-2011
836,11-05-2010
837,16-02-2008
840,29-02-2008
842,11-08-2010
843,10-07-2009
844,11-04-2011
846,18-12-2009
850,04-09-2009
852,19-03-2010
858,07-03-2010
859,14-10-2010
862,16-04-2011
871,02-09-2008
894,03-06-2009
896,24-03-2009
897,24-01-2009
904,15-11-2010
914,31-01-2009
918,27-06-2008
926,19-07-2009
951,19-10-2008
955,29-08-2010
963,13-05-2010
974,08-03-2010
989,13-12-2010
992,29-06-2010
995,04-05-2008
1001,09-11-2008
1007,07-03-2008
1008,02-03-2008
1015,23-10-2008
1026,27-01-2009
1030,24-10-2010
1058,09-09-2009
1081,19-06-2010
1083,22-04-2010
1085,06-08-2011
1086,02-08-2011
1091,15-03-2010
1093,27-10-2011
1095,12-05-2012
1101,23-01-2009
