repo_id,id_contribuidor,data
367,11,30-11-2017
367,437,26-11-2013
367,633,20-04-2018
367,1526,06-11-2013
367,2376,02-08-2012
367,2536,16-08-2012
367,2543,07-01-2013
367,2690,17-05-2017
367,5069,06-09-2014
367,5553,06-11-2014
367,5672,16-09-2017
367,6059,10-06-2017
367,6864,15-08-2012
367,8656,08-08-2013
367,9660,26-12-2013
367,10334,14-03-2015
367,12584,22-12-2014
367,15244,18-09-2013
367,16104,17-04-2016
367,17768,02-01-2013
367,19199,12-06-2014
367,19784,05-02-2015
367,22599,14-06-2014
367,23645,30-11-2013
367,24072,28-03-2014
367,28719,14-04-2014
367,28983,03-05-2017
367,30254,10-03-2017
367,32392,18-06-2013
367,33595,04-11-2013
367,35408,16-09-2013
367,37064,05-12-2012
367,37842,10-06-2014
367,43554,16-12-2013
367,51702,04-08-2013
367,52022,04-01-2014
367,53208,01-07-2013
367,54255,24-06-2014
367,58145,25-11-2012
367,62769,07-10-2015
367,64817,20-11-2013
367,65112,04-09-2013
367,72391,05-06-2017
367,72392,10-11-2013
367,73702,23-02-2018
367,75071,21-02-2013
367,75337,10-01-2014
367,78244,13-01-2018
367,82282,27-07-2014
367,85859,10-05-2019
367,85893,21-10-2017
367,86723,26-05-2016
367,88251,21-01-2014
367,88523,23-08-2018
367,92553,04-03-2017
367,92568,29-06-2014
367,94363,09-10-2018
367,100163,10-11-2013
367,100926,06-03-2013
367,101037,05-08-2017
367,101433,04-06-2014
367,104318,10-05-2019
367,122526,28-09-2017
367,124259,17-04-2013
367,127365,17-05-2018
367,129062,05-12-2012
367,129267,09-12-2017
367,130336,26-04-2019
367,132064,20-04-2013
367,133230,17-05-2013
367,140809,31-08-2012
367,141981,29-01-2018
367,143468,04-05-2016
367,162054,19-04-2014
367,185649,24-12-2013
367,186921,30-11-2013
367,195379,18-11-2013
367,202172,07-06-2017
367,211132,01-01-2018
367,213025,09-03-2016
367,234928,16-01-2019
367,239837,29-08-2017
367,241666,25-06-2017
367,247405,20-02-2013
367,265038,30-06-2014
367,265166,22-04-2013
367,267223,21-08-2018
367,283665,04-09-2018
367,285056,16-08-2017
367,287273,10-06-2014
367,287330,09-01-2015
367,290429,06-01-2019
367,293979,10-01-2014
367,299591,06-08-2013
367,307778,11-02-2017
367,309782,18-12-2017
367,310176,08-12-2013
367,313766,13-01-2016
367,316620,19-09-2018
367,319008,04-08-2017
367,319011,22-09-2015
367,323227,22-08-2013
367,323541,01-11-2014
367,324546,08-07-2013
367,329128,02-01-2016
367,338507,26-09-2017
367,338514,12-02-2018
367,341033,08-04-2015
367,353743,22-05-2018
367,373151,19-03-2015
367,383951,21-09-2016
367,399424,21-10-2017
367,402270,01-07-2013
367,405733,17-04-2017
367,419501,14-01-2018
367,442602,15-10-2015
367,443959,19-08-2014
367,457934,16-08-2014
367,485020,26-07-2013
367,485380,14-01-2017
367,507545,30-07-2014
367,517485,23-05-2013
367,518118,15-01-2016
367,547306,01-03-2018
367,547777,04-01-2013
367,562976,12-07-2018
367,563379,17-08-2014
367,567196,21-11-2018
